latitude,longitude,date
37.502,15.312,2024-03-12 02:10:00
38.112,13.372,2024-03-12 05:55:00
37.521,15.324,2024-03-12 04:32:00
37.547,15.323,2024-04-01 14:22:00
38.147,13.324,2024-04-01 21:55:00
37.535,15.341,2024-04-03 12:32:00
38.142,13.387,2024-04-03 18:33:00
43.769,11.255,2024-04-03 21:10:00
37.522,15.308,2024-04-23 02:10:00
38.123,13.379,2024-04-27 05:55:00
37.498,15.289,2024-03-12 23:45:00
38.156,13.401,2024-04-01 03:15:00
37.543,15.337,2024-04-03 16:20:00
40.234,14.567,2024-05-10 08:30:00
40.287,14.523,2024-05-10 10:45:00
